route-idx,coordinates
60,"[(116, 151), (115, 151), (115, 150), (115, 149), (115, 148), (114, 148), (114, 147), (114, 146), (114, 145), (114, 144), (115, 144), (115, 143), (115, 142), (115, 141), (115, 140), (114, 140), (114, 139), (114, 138), (114, 137), (114, 136), (114, 135), (115, 135), (115, 134), (115, 133), (115, 132), (114, 132), (113, 132), (113, 131), (113, 130), (112, 130), (112, 129), (112, 128), (111, 128), (111, 127), (110, 127), (110, 126), (109, 126), (109, 125), (108, 125), (107, 125), (106, 125), (105, 125), (104, 125), (103, 125), (103, 126), (102, 126), (101, 126), (100, 126), (99, 126), (98, 126), (97, 126), (97, 125), (96, 125), (96, 124), (95, 124), (95, 123), (95, 122), (94, 122), (93, 122), (93, 123), (92, 123), (92, 124), (91, 124), (90, 124), (90, 125), (90, 126), (89, 126), (88, 126), (87, 126), (87, 125), (86, 125), (86, 124), (85, 124), (85, 123), (84, 123), (84, 122), (83, 122), (83, 121), (82, 121), (82, 120), (82, 119), (81, 119), (81, 118), (80, 118), (80, 117), (79, 117), (79, 116), (78, 116), (77, 116), (77, 117), (77, 118), (76, 118), (76, 119), (75, 119), (75, 120), (75, 121), (74, 121), (74, 122), (73, 122), (73, 123), (72, 123), (71, 123), (71, 124), (71, 125), (70, 125), (70, 126), (70, 127), (70, 128), (70, 129), (70, 130), (70, 131), (70, 132), (70, 133), (70, 134), (70, 135), (70, 136), (70, 137), (70, 138), (70, 139), (69, 139), (69, 140), (69, 141), (69, 142), (68, 142), (68, 143), (68, 144), (67, 144), (66, 144), (65, 144), (65, 144)]"
61,"[(24, 54), (24, 55), (24, 56), (24, 57), (23, 57), (23, 58), (22, 58), (22, 59), (21, 59), (21, 60), (20, 60), (20, 61), (20, 62), (20, 63), (20, 64), (20, 65), (21, 65), (21, 66), (21, 67), (21, 68), (21, 69), (22, 69), (22, 70), (23, 70), (23, 71), (24, 71), (24, 72), (25, 72), (25, 73), (25, 74), (26, 74), (26, 75), (27, 75), (27, 76), (27, 77), (27, 78), (28, 78), (28, 79), (28, 80), (28, 81), (28, 82), (29, 82), (29, 83), (29, 84), (30, 84), (30, 85), (30, 86), (30, 87), (29, 87), (29, 88), (29, 89), (29, 90), (30, 90), (31, 90), (31, 89), (32, 89), (33, 89), (34, 89), (34, 90), (35, 90), (35, 91), (36, 91), (36, 92), (36, 93), (37, 93), (37, 94), (37, 95), (37, 96), (37, 97), (37, 98), (37, 99), (37, 100), (37, 101), (38, 101), (38, 102), (38, 103), (39, 103), (39, 104), (39, 105), (39, 106), (38, 106), (38, 107), (38, 108), (38, 109), (38, 110), (39, 110), (39, 111), (40, 111), (40, 112), (41, 112), (41, 113), (41, 114), (42, 114), (42, 115), (42, 116), (42, 117), (43, 117), (43, 118), (43, 119), (44, 119), (44, 120), (44, 121), (45, 121), (46, 121), (46, 122), (47, 122), (47, 123), (48, 123), (49, 123), (50, 123), (50, 124), (51, 124), (52, 124), (52, 125), (52, 126), (52, 127), (52, 128), (52, 129), (52, 130), (52, 131), (53, 131), (53, 132), (53, 133), (54, 133), (54, 134), (54, 135), (54, 136), (54, 137), (55, 137), (55, 138), (56, 138), (56, 139), (57, 139), (58, 139), (58, 140), (59, 140), (60, 140), (60, 141), (61, 141), (61, 142), (62, 142), (62, 143), (63, 143), (64, 143), (64, 144), (65, 144), (65, 144)]"
62,"[(24, 54), (24, 53), (23, 53), (22, 53), (22, 52), (22, 51), (22, 50), (22, 49), (23, 49), (23, 48), (24, 48), (24, 47), (25, 47), (25, 46), (26, 46), (26, 45), (27, 45), (27, 44), (28, 44), (29, 44), (29, 43), (30, 43), (30, 42), (30, 41), (30, 40), (30, 39), (30, 38), (29, 38), (29, 37), (29, 36), (28, 36), (28, 35), (27, 35), (27, 34), (26, 34), (26, 33), (26, 32), (25, 32), (25, 31), (25, 30), (24, 30), (24, 29), (23, 29), (23, 28), (22, 28), (22, 27), (21, 27), (21, 26), (20, 26), (20, 25), (19, 25), (19, 24), (19, 24)]"
63,"[(19, 24), (19, 24)]"
64,"[(45, 68), (45, 69), (46, 69), (47, 69), (47, 70), (48, 70), (48, 71), (49, 71), (49, 72), (50, 72), (50, 73), (51, 73), (51, 74), (52, 74), (52, 75), (53, 75), (54, 75), (54, 76), (55, 76), (56, 76), (56, 77), (56, 78), (56, 79), (56, 80), (56, 81), (55, 81), (55, 82), (55, 83), (55, 84), (56, 84), (56, 85), (56, 86), (55, 86), (54, 86), (54, 87), (53, 87), (53, 88), (53, 89), (52, 89), (52, 90), (51, 90), (51, 91), (50, 91), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 95), (37, 94), (37, 93), (36, 93), (36, 92), (36, 91), (35, 91), (35, 90), (34, 90), (34, 89), (33, 89), (32, 89), (31, 89), (31, 90), (30, 90), (29, 90), (29, 89), (29, 88), (29, 87), (30, 87), (30, 86), (30, 85), (30, 84), (29, 84), (29, 83), (29, 82), (28, 82), (28, 81), (28, 80), (28, 79), (28, 78), (27, 78), (27, 77), (27, 76), (27, 75), (26, 75), (26, 74), (25, 74), (25, 73), (25, 72), (24, 72), (24, 71), (23, 71), (23, 70), (22, 70), (22, 69), (21, 69), (21, 68), (20, 68), (19, 68), (18, 68), (18, 67), (17, 67), (17, 67)]"
65,"[(183, 87), (182, 87), (181, 87), (180, 87), (180, 86), (179, 86), (178, 86), (177, 86), (176, 86), (176, 87), (175, 87), (174, 87), (174, 86), (174, 85), (173, 85), (173, 84), (173, 83), (172, 83), (172, 82), (172, 81), (172, 80), (172, 79), (172, 78), (172, 77), (172, 76), (172, 75), (173, 75), (173, 74), (173, 73), (174, 73), (174, 72), (175, 72), (175, 71), (176, 71), (176, 70), (177, 70), (177, 69), (177, 68), (177, 67), (178, 67), (178, 66), (179, 66), (180, 66), (181, 66), (181, 65), (182, 65), (182, 64), (183, 64), (183, 63), (184, 63), (184, 62), (184, 61), (184, 60), (184, 59), (184, 58), (185, 58), (185, 57), (185, 56), (185, 55), (186, 55), (186, 55)]"
66,"[(48, 89), (48, 89)]"
67,"[(48, 89), (48, 90), (49, 90), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 95), (37, 94), (37, 93), (36, 93), (36, 92), (36, 91), (35, 91), (35, 90), (34, 90), (34, 89), (33, 89), (32, 89), (31, 89), (31, 90), (30, 90), (29, 90), (29, 89), (29, 88), (29, 87), (30, 87), (30, 86), (30, 85), (30, 84), (29, 84), (29, 83), (29, 82), (28, 82), (28, 81), (28, 80), (28, 79), (28, 78), (27, 78), (27, 77), (27, 76), (27, 75), (26, 75), (26, 74), (25, 74), (25, 73), (25, 72), (24, 72), (24, 71), (23, 71), (23, 70), (22, 70), (22, 69), (21, 69), (21, 68), (20, 68), (19, 68), (18, 68), (18, 67), (17, 67), (17, 67)]"
68,"[(20, 121), (21, 121), (22, 121), (22, 120), (23, 120), (23, 119), (23, 118), (23, 117), (23, 116), (23, 115), (23, 114), (23, 113), (23, 112), (23, 111), (23, 110), (23, 109), (23, 108), (24, 108), (24, 107), (24, 106), (23, 106), (22, 106), (22, 105), (22, 104), (21, 104), (21, 103), (20, 103), (20, 102), (20, 101), (19, 101), (19, 100), (19, 99), (18, 99), (18, 98), (18, 97), (18, 96), (18, 95), (18, 95)]"
69,"[(150, 177), (149, 177), (149, 176), (148, 176), (147, 176), (147, 175), (146, 175), (145, 175), (145, 174), (144, 174), (143, 174), (142, 174), (142, 175), (141, 175), (140, 175), (140, 176), (140, 177), (140, 178), (140, 179), (140, 180), (140, 181), (140, 182), (140, 183), (140, 184), (140, 184)]"
70,"[(110, 9), (109, 9), (109, 10), (108, 10), (108, 11), (108, 12), (109, 12), (109, 13), (110, 13), (110, 14), (110, 15), (110, 16), (110, 17), (109, 17), (109, 18), (109, 19), (108, 19), (108, 20), (107, 20), (106, 20), (105, 20), (104, 20), (104, 21), (104, 22), (103, 22), (103, 23), (103, 24), (103, 25), (104, 25), (104, 26), (104, 27), (104, 28), (105, 28), (105, 29), (105, 30), (105, 31), (105, 32), (104, 32), (104, 32)]"
71,"[(129, 50), (129, 51), (130, 51), (131, 51), (132, 51), (133, 51), (133, 50), (134, 50), (134, 49), (135, 49), (135, 48), (135, 47), (135, 46), (134, 46), (134, 45), (134, 44), (134, 43), (134, 42), (133, 42), (133, 41), (133, 40), (132, 40), (132, 39), (132, 38), (132, 37), (132, 36), (131, 36), (131, 35), (130, 35), (130, 34), (129, 34), (129, 33), (129, 32), (128, 32), (128, 31), (127, 31), (126, 31), (126, 30), (125, 30), (125, 29), (124, 29), (124, 28), (124, 27), (124, 26), (123, 26), (123, 25), (122, 25), (122, 24), (122, 23), (121, 23), (121, 22), (121, 21), (120, 21), (120, 20), (119, 20), (119, 19), (119, 18), (119, 17), (119, 16), (118, 16), (118, 15), (117, 15), (116, 15), (115, 15), (115, 14), (114, 14), (114, 13), (114, 12), (113, 12), (113, 11), (113, 10), (112, 10), (112, 9), (111, 9), (110, 9), (110, 9)]"
72,"[(129, 50), (129, 50)]"
73,"[(52, 41), (53, 41), (54, 41), (55, 41), (55, 42), (56, 42), (56, 43), (56, 44), (57, 44), (57, 45), (57, 46), (58, 46), (58, 47), (59, 47), (59, 48), (60, 48), (61, 48), (61, 49), (62, 49), (62, 50), (63, 50), (64, 50), (65, 50), (65, 51), (66, 51), (67, 51), (67, 52), (68, 52), (68, 53), (68, 54), (68, 55), (68, 56), (68, 57), (67, 57), (67, 58), (67, 59), (67, 60), (68, 60), (68, 61), (68, 62), (68, 63), (68, 64), (67, 64), (66, 64), (66, 65), (65, 65), (64, 65), (64, 66), (63, 66), (63, 67), (62, 67), (62, 68), (62, 69), (62, 70), (61, 70), (61, 71), (60, 71), (60, 72), (60, 73), (59, 73), (59, 74), (58, 74), (58, 75), (57, 75), (57, 76), (56, 76), (56, 77), (56, 78), (56, 79), (56, 80), (56, 81), (55, 81), (55, 82), (55, 83), (55, 84), (56, 84), (56, 85), (56, 86), (55, 86), (54, 86), (54, 87), (53, 87), (53, 88), (53, 89), (52, 89), (52, 90), (51, 90), (51, 91), (50, 91), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 95), (37, 94), (37, 93), (36, 93), (36, 92), (36, 91), (35, 91), (35, 90), (34, 90), (34, 89), (33, 89), (32, 89), (31, 89), (31, 90), (30, 90), (29, 90), (29, 89), (29, 88), (29, 87), (30, 87), (30, 86), (30, 85), (30, 84), (29, 84), (29, 83), (29, 82), (28, 82), (28, 81), (28, 80), (28, 79), (28, 78), (27, 78), (27, 77), (27, 76), (27, 75), (26, 75), (26, 74), (25, 74), (25, 73), (25, 72), (24, 72), (24, 71), (23, 71), (23, 70), (22, 70), (22, 69), (21, 69), (21, 68), (20, 68), (19, 68), (18, 68), (18, 67), (17, 67), (17, 67)]"
74,"[(115, 167), (115, 166), (115, 165), (115, 164), (115, 163), (115, 162), (115, 161), (115, 160), (115, 159), (115, 158), (115, 157), (115, 156), (115, 155), (115, 154), (115, 153), (115, 152), (115, 151), (116, 151), (116, 151)]"
75,"[(97, 160), (96, 160), (95, 160), (94, 160), (94, 159), (94, 158), (93, 158), (93, 157), (93, 156), (92, 156), (92, 155), (92, 154), (91, 154), (91, 153), (90, 153), (90, 152), (89, 152), (89, 151), (88, 151), (88, 150), (88, 149), (87, 149), (87, 148), (87, 147), (86, 147), (85, 147), (85, 146), (84, 146), (84, 145), (83, 145), (83, 144), (82, 144), (82, 143), (82, 142), (81, 142), (81, 141), (80, 141), (80, 140), (79, 140), (79, 139), (78, 139), (78, 138), (77, 138), (77, 137), (76, 137), (76, 136), (75, 136), (75, 135), (74, 135), (74, 134), (74, 133), (73, 133), (73, 132), (72, 132), (72, 131), (71, 131), (70, 131), (70, 132), (70, 133), (70, 134), (70, 135), (70, 136), (70, 137), (70, 138), (70, 139), (69, 139), (69, 140), (69, 141), (69, 142), (68, 142), (68, 143), (68, 144), (67, 144), (66, 144), (65, 144), (65, 144)]"
76,"[(183, 87), (182, 87), (181, 87), (180, 87), (180, 86), (179, 86), (178, 86), (177, 86), (176, 86), (176, 87), (175, 87), (174, 87), (173, 87), (172, 87), (172, 88), (171, 88), (170, 88), (169, 88), (168, 88), (167, 88), (166, 88), (165, 88), (165, 87), (164, 87), (163, 87), (162, 87), (161, 87), (161, 88), (160, 88), (160, 89), (160, 90), (160, 91), (161, 91), (161, 92), (161, 93), (161, 94), (160, 94), (160, 95), (159, 95), (159, 96), (158, 96), (158, 97), (158, 98), (158, 99), (158, 100), (158, 101), (158, 102), (159, 102), (160, 102), (161, 102), (162, 102), (162, 103), (163, 103), (163, 104), (163, 105), (164, 105), (164, 106), (165, 106), (166, 106), (166, 107), (166, 108), (167, 108), (167, 109), (167, 110), (167, 111), (167, 112), (167, 113), (166, 113), (166, 114), (166, 115), (166, 116), (166, 117), (166, 118), (165, 118), (165, 119), (164, 119), (164, 120), (163, 120), (163, 121), (162, 121), (161, 121), (160, 121), (159, 121), (159, 122), (158, 122), (157, 122), (157, 123), (156, 123), (155, 123), (155, 124), (154, 124), (154, 125), (153, 125), (152, 125), (151, 125), (150, 125), (149, 125), (148, 125), (148, 124), (147, 124), (147, 123), (146, 123), (145, 123), (144, 123), (143, 123), (143, 124), (142, 124), (142, 125), (142, 126), (141, 126), (141, 127), (141, 128), (140, 128), (140, 129), (140, 130), (139, 130), (139, 131), (138, 131), (138, 132), (137, 132), (136, 132), (136, 133), (135, 133), (135, 134), (134, 134), (133, 134), (133, 135), (133, 136), (133, 137), (133, 138), (134, 138), (135, 138), (135, 137), (136, 137), (136, 137)]"
77,"[(149, 60), (149, 61), (149, 62), (149, 63), (149, 64), (148, 64), (148, 65), (147, 65), (147, 66), (146, 66), (146, 67), (146, 68), (145, 68), (144, 68), (144, 69), (143, 69), (143, 70), (142, 70), (142, 71), (141, 71), (141, 72), (140, 72), (140, 73), (140, 74), (139, 74), (139, 75), (139, 76), (138, 76), (137, 76), (136, 76), (136, 75), (136, 74), (135, 74), (134, 74), (134, 75), (134, 76), (133, 76), (133, 77), (132, 77), (132, 78), (132, 79), (131, 79), (131, 80), (131, 81), (131, 82), (131, 83), (131, 84), (131, 85), (130, 85), (130, 86), (130, 87), (130, 88), (130, 89), (129, 89), (129, 90), (128, 90), (128, 91), (128, 92), (127, 92), (126, 92), (126, 91), (126, 90), (125, 90), (125, 89), (125, 88), (124, 88), (123, 88), (122, 88), (121, 88), (120, 88), (120, 89), (119, 89), (118, 89), (117, 89), (117, 88), (116, 88), (116, 87), (116, 86), (115, 86), (115, 85), (115, 84), (114, 84), (114, 83), (113, 83), (113, 82), (113, 81), (112, 81), (112, 80), (112, 79), (112, 78), (112, 77), (112, 76), (112, 75), (112, 74), (112, 73), (111, 73), (111, 72), (110, 72), (110, 71), (110, 70), (109, 70), (109, 69), (109, 68), (109, 67), (110, 67), (110, 66), (110, 65), (111, 65), (111, 64), (111, 63), (111, 62), (111, 61), (111, 60), (111, 59), (111, 58), (111, 57), (111, 56), (111, 55), (111, 54), (111, 53), (111, 52), (110, 52), (110, 51), (110, 50), (109, 50), (109, 49), (109, 48), (108, 48), (108, 47), (108, 46), (108, 45), (108, 44), (107, 44), (107, 43), (107, 42), (106, 42), (106, 41), (106, 40), (106, 39), (106, 38), (106, 37), (106, 36), (106, 35), (106, 34), (106, 33), (106, 32), (105, 32), (104, 32), (104, 32)]"
78,"[(138, 181), (139, 181), (140, 181), (140, 180), (140, 179), (140, 178), (140, 177), (140, 176), (140, 175), (140, 174), (140, 173), (140, 172), (140, 171), (140, 170), (140, 169), (139, 169), (139, 168), (139, 167), (138, 167), (138, 166), (137, 166), (136, 166), (136, 165), (136, 164), (135, 164), (135, 163), (135, 162), (134, 162), (134, 161), (134, 160), (135, 160), (135, 159), (135, 158), (135, 157), (135, 156), (134, 156), (133, 156), (133, 155), (133, 154), (133, 153), (133, 152), (133, 151), (133, 150), (133, 149), (133, 148), (132, 148), (132, 147), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (135, 138), (135, 137), (136, 137), (136, 137)]"
79,"[(164, 114), (165, 114), (166, 114), (166, 115), (166, 116), (166, 117), (166, 118), (165, 118), (165, 119), (164, 119), (164, 120), (163, 120), (163, 121), (162, 121), (161, 121), (160, 121), (159, 121), (159, 122), (158, 122), (157, 122), (157, 123), (156, 123), (155, 123), (155, 124), (154, 124), (154, 125), (153, 125), (152, 125), (151, 125), (150, 125), (149, 125), (148, 125), (148, 124), (147, 124), (147, 123), (146, 123), (145, 123), (144, 123), (143, 123), (143, 122), (143, 121), (144, 121), (144, 120), (144, 119), (144, 118), (144, 117), (144, 116), (144, 115), (144, 114), (144, 113), (144, 112), (144, 111), (144, 110), (144, 109), (144, 108), (144, 107), (144, 106), (143, 106), (143, 105), (143, 104), (142, 104), (141, 104), (141, 103), (140, 103), (139, 103), (139, 104), (138, 104), (138, 105), (137, 105), (136, 105), (136, 106), (135, 106), (135, 107), (134, 107), (134, 108), (133, 108), (132, 108), (132, 109), (131, 109), (131, 110), (130, 110), (129, 110), (129, 111), (128, 111), (128, 112), (127, 112), (126, 112), (126, 113), (125, 113), (124, 113), (124, 112), (124, 111), (124, 111)]"
80,"[(48, 89), (48, 90), (49, 90), (49, 91), (50, 91), (51, 91), (51, 90), (52, 90), (52, 89), (53, 89), (53, 88), (53, 87), (54, 87), (54, 86), (55, 86), (56, 86), (56, 85), (56, 84), (55, 84), (55, 83), (55, 82), (55, 81), (56, 81), (56, 80), (56, 79), (56, 78), (56, 77), (56, 76), (57, 76), (57, 75), (58, 75), (58, 74), (59, 74), (59, 73), (60, 73), (60, 72), (60, 71), (61, 71), (61, 70), (62, 70), (62, 69), (62, 68), (62, 67), (63, 67), (63, 66), (64, 66), (64, 65), (65, 65), (66, 65), (66, 64), (67, 64), (68, 64), (68, 63), (68, 62), (68, 61), (68, 60), (67, 60), (67, 59), (67, 58), (67, 57), (68, 57), (68, 56), (68, 55), (68, 54), (68, 53), (68, 52), (67, 52), (67, 51), (66, 51), (65, 51), (65, 50), (64, 50), (63, 50), (62, 50), (62, 49), (61, 49), (61, 48), (60, 48), (59, 48), (59, 47), (58, 47), (58, 46), (57, 46), (57, 45), (57, 44), (58, 44), (58, 44)]"
81,"[(63, 33), (63, 34), (62, 34), (62, 35), (62, 36), (62, 37), (62, 38), (61, 38), (61, 39), (61, 40), (60, 40), (60, 41), (59, 41), (59, 42), (58, 42), (58, 43), (58, 44), (58, 44)]"
82,"[(63, 33), (64, 33), (64, 32), (64, 31), (64, 30), (64, 29), (63, 29), (63, 28), (63, 27), (63, 26), (63, 25), (64, 25), (64, 25)]"
83,"[(131, 146), (132, 146), (132, 145), (132, 144), (132, 143), (132, 142), (133, 142), (133, 141), (133, 140), (134, 140), (134, 139), (134, 138), (135, 138), (135, 137), (136, 137), (136, 137)]"
84,"[(129, 50), (129, 51), (130, 51), (131, 51), (131, 52), (131, 53), (131, 54), (130, 54), (130, 55), (130, 56), (130, 57), (130, 58), (129, 58), (129, 59), (128, 59), (128, 60), (128, 61), (127, 61), (127, 62), (126, 62), (126, 63), (125, 63), (124, 63), (124, 64), (123, 64), (123, 65), (123, 66), (123, 67), (123, 68), (124, 68), (124, 69), (124, 70), (124, 71), (124, 72), (124, 73), (124, 74), (124, 75), (125, 75), (125, 76), (125, 77), (125, 78), (126, 78), (126, 79), (126, 80), (126, 81), (126, 82), (126, 83), (126, 84), (126, 85), (126, 86), (126, 87), (125, 87), (125, 88), (125, 89), (125, 90), (126, 90), (126, 91), (126, 92), (126, 93), (126, 94), (126, 95), (125, 95), (125, 96), (125, 97), (125, 98), (125, 99), (125, 100), (125, 101), (125, 102), (125, 103), (125, 104), (125, 105), (125, 106), (124, 106), (124, 107), (124, 108), (124, 109), (124, 110), (124, 111), (124, 111)]"
85,"[(44, 64), (44, 63), (44, 62), (43, 62), (43, 61), (42, 61), (42, 60), (41, 60), (41, 59), (40, 59), (40, 58), (39, 58), (38, 58), (38, 57), (38, 56), (38, 55), (38, 54), (38, 53), (37, 53), (37, 52), (36, 52), (35, 52), (34, 52), (34, 53), (33, 53), (32, 53), (32, 54), (31, 54), (30, 54), (29, 54), (29, 55), (28, 55), (27, 55), (26, 55), (25, 55), (24, 55), (24, 56), (24, 57), (23, 57), (23, 58), (22, 58), (22, 59), (21, 59), (21, 60), (20, 60), (20, 61), (20, 62), (20, 63), (20, 64), (20, 65), (21, 65), (21, 66), (21, 67), (21, 68), (21, 69), (22, 69), (22, 70), (23, 70), (23, 71), (24, 71), (24, 72), (25, 72), (25, 73), (25, 74), (26, 74), (26, 75), (27, 75), (27, 76), (27, 77), (27, 78), (28, 78), (28, 79), (28, 80), (28, 81), (28, 82), (29, 82), (29, 83), (29, 84), (30, 84), (30, 85), (30, 86), (30, 87), (29, 87), (29, 88), (29, 89), (29, 90), (30, 90), (31, 90), (31, 89), (32, 89), (33, 89), (34, 89), (34, 90), (35, 90), (35, 91), (36, 91), (36, 92), (36, 93), (37, 93), (37, 94), (37, 95), (37, 96), (38, 96), (39, 96), (40, 96), (41, 96), (42, 96), (42, 95), (43, 95), (44, 95), (45, 95), (45, 94), (46, 94), (47, 94), (47, 93), (48, 93), (48, 92), (49, 92), (49, 91), (50, 91), (51, 91), (51, 90), (52, 90), (52, 89), (53, 89), (53, 88), (53, 87), (54, 87), (54, 86), (55, 86), (56, 86), (56, 85), (56, 84), (55, 84), (55, 83), (55, 82), (55, 81), (56, 81), (56, 80), (56, 79), (56, 78), (56, 77), (56, 76), (57, 76), (57, 75), (58, 75), (58, 74), (59, 74), (59, 73), (60, 73), (60, 72), (60, 71), (61, 71), (61, 70), (62, 70), (62, 69), (62, 68), (62, 67), (63, 67), (63, 66), (64, 66), (64, 65), (65, 65), (66, 65), (66, 64), (67, 64), (68, 64), (68, 63), (68, 62), (68, 61), (68, 60), (67, 60), (67, 59), (67, 58), (67, 57), (68, 57), (68, 56), (68, 55), (68, 54), (68, 53), (68, 52), (67, 52), (67, 51), (66, 51), (65, 51), (65, 50), (64, 50), (63, 50), (62, 50), (62, 49), (61, 49), (61, 48), (60, 48), (59, 48), (59, 47), (58, 47), (58, 46), (57, 46), (57, 45), (57, 44), (58, 44), (58, 44)]"
86,"[(44, 64), (44, 63), (44, 62), (43, 62), (43, 61), (42, 61), (42, 60), (41, 60), (41, 59), (40, 59), (40, 58), (39, 58), (38, 58), (38, 57), (38, 56), (38, 55), (38, 54), (38, 53), (37, 53), (37, 52), (36, 52), (35, 52), (34, 52), (34, 53), (33, 53), (32, 53), (32, 54), (31, 54), (30, 54), (29, 54), (29, 55), (28, 55), (27, 55), (26, 55), (25, 55), (24, 55), (24, 56), (24, 57), (23, 57), (23, 58), (22, 58), (22, 59), (21, 59), (21, 60), (20, 60), (20, 61), (20, 62), (20, 63), (20, 64), (20, 65), (21, 65), (21, 66), (21, 67), (21, 68), (21, 69), (22, 69), (22, 70), (23, 70), (23, 71), (24, 71), (24, 72), (25, 72), (25, 73), (25, 74), (26, 74), (26, 75), (27, 75), (27, 76), (27, 77), (27, 78), (28, 78), (28, 79), (28, 80), (28, 81), (28, 82), (29, 82), (29, 83), (29, 84), (30, 84), (30, 85), (30, 86), (30, 87), (29, 87), (29, 88), (29, 89), (29, 90), (30, 90), (31, 90), (31, 89), (32, 89), (33, 89), (34, 89), (34, 90), (35, 90), (35, 91), (36, 91), (36, 92), (36, 93), (37, 93), (37, 94), (37, 95), (37, 96), (38, 96), (39, 96), (40, 96), (41, 96), (42, 96), (42, 95), (43, 95), (44, 95), (45, 95), (45, 94), (46, 94), (47, 94), (47, 93), (48, 93), (48, 92), (49, 92), (49, 91), (50, 91), (51, 91), (51, 90), (52, 90), (52, 89), (53, 89), (53, 88), (53, 87), (54, 87), (54, 86), (55, 86), (56, 86), (56, 85), (56, 84), (55, 84), (55, 83), (55, 82), (55, 81), (56, 81), (56, 80), (56, 79), (56, 78), (56, 77), (56, 76), (55, 76), (54, 76), (54, 75), (53, 75), (52, 75), (52, 74), (51, 74), (51, 73), (50, 73), (50, 72), (49, 72), (49, 71), (48, 71), (48, 70), (47, 70), (47, 69), (46, 69), (45, 69), (45, 68), (45, 68)]"
87,"[(58, 44), (57, 44), (57, 45), (57, 46), (58, 46), (58, 47), (59, 47), (59, 48), (60, 48), (61, 48), (61, 49), (62, 49), (62, 50), (63, 50), (64, 50), (65, 50), (65, 51), (66, 51), (67, 51), (67, 52), (68, 52), (68, 53), (68, 54), (68, 55), (68, 56), (68, 57), (67, 57), (67, 58), (67, 59), (67, 60), (68, 60), (68, 61), (68, 62), (68, 63), (68, 64), (67, 64), (66, 64), (66, 65), (65, 65), (64, 65), (64, 66), (63, 66), (63, 67), (62, 67), (62, 68), (62, 69), (62, 70), (61, 70), (61, 71), (60, 71), (60, 72), (60, 73), (59, 73), (59, 74), (58, 74), (58, 75), (57, 75), (57, 76), (56, 76), (56, 77), (56, 78), (56, 79), (56, 80), (56, 81), (55, 81), (55, 82), (55, 83), (55, 84), (56, 84), (56, 85), (56, 86), (55, 86), (54, 86), (54, 87), (53, 87), (53, 88), (53, 89), (52, 89), (52, 90), (51, 90), (51, 91), (50, 91), (49, 91), (49, 92), (48, 92), (48, 93), (47, 93), (47, 94), (46, 94), (45, 94), (45, 95), (44, 95), (43, 95), (42, 95), (42, 96), (41, 96), (40, 96), (39, 96), (38, 96), (37, 96), (37, 95), (37, 94), (37, 93), (36, 93), (36, 92), (36, 91), (35, 91), (35, 90), (34, 90), (34, 89), (33, 89), (32, 89), (31, 89), (31, 90), (30, 90), (29, 90), (29, 89), (29, 88), (29, 87), (30, 87), (30, 86), (30, 85), (30, 84), (29, 84), (29, 83), (29, 82), (28, 82), (28, 81), (28, 80), (28, 79), (28, 78), (27, 78), (27, 77), (27, 76), (27, 75), (26, 75), (26, 74), (25, 74), (25, 73), (25, 72), (24, 72), (24, 71), (23, 71), (23, 70), (22, 70), (22, 69), (21, 69), (21, 68), (21, 67), (21, 66), (21, 65), (20, 65), (20, 64), (20, 63), (20, 62), (20, 61), (20, 60), (21, 60), (21, 59), (22, 59), (22, 58), (23, 58), (23, 57), (24, 57), (24, 56), (24, 55), (24, 54), (24, 54)]"
88,"[(150, 177), (149, 177), (149, 176), (148, 176), (147, 176), (147, 175), (146, 175), (145, 175), (145, 174), (144, 174), (143, 174), (142, 174), (142, 175), (141, 175), (140, 175), (140, 174), (140, 173), (140, 172), (140, 171), (140, 170), (140, 169), (139, 169), (139, 168), (139, 167), (138, 167), (138, 166), (137, 166), (136, 166), (136, 165), (136, 164), (135, 164), (135, 163), (135, 162), (134, 162), (134, 161), (134, 160), (135, 160), (135, 159), (135, 158), (135, 157), (135, 156), (134, 156), (133, 156), (133, 155), (133, 154), (133, 153), (133, 152), (133, 151), (133, 150), (133, 149), (133, 148), (132, 148), (132, 147), (132, 146), (131, 146), (131, 146)]"
